date,DTB3,DGS10,BAMLC0A1CAAAEY,BAMLC0A4CBBBEY,DTWEXB
1954-01-01,1.18,,,,
1954-02-01,0.97,,,,
1954-03-01,1.03,,,,
1954-04-01,0.97,,,,
1954-05-01,0.76,,,,
1954-06-01,0.64,,,,
1954-07-01,0.72,,,,
1954-08-01,0.92,,,,
1954-09-01,1.01,,,,
1954-10-01,0.98,,,,
1954-11-01,0.93,,,,
1954-12-01,1.15,,,,
1955-01-01,1.22,,,,
1955-02-01,1.17,,,,
1955-03-01,1.28,,,,
1955-04-01,1.59,,,,
1955-05-01,1.45,,,,
1955-06-01,1.41,,,,
1955-07-01,1.60,,,,
1955-08-01,1.90,,,,
1955-09-01,2.07,,,,
1955-10-01,2.23,,,,
1955-11-01,2.24,,,,
1955-12-01,2.54,,,,
1956-01-01,2.41,,,,
1956-02-01,2.32,,,,
1956-03-01,2.25,,,,
1956-04-01,2.60,,,,
1956-05-01,2.61,,,,
1956-06-01,2.49,,,,
1956-07-01,2.31,,,,
1956-08-01,2.60,,,,
1956-09-01,2.84,,,,
1956-10-01,2.90,,,,
1956-11-01,2.99,,,,
1956-12-01,3.21,,,,
1957-01-01,3.11,,,,
1957-02-01,3.10,,,,
1957-03-01,3.08,,,,
1957-04-01,3.07,,,,
1957-05-01,3.06,,,,
1957-06-01,3.29,,,,
1957-07-01,3.16,,,,
1957-08-01,3.37,,,,
1957-09-01,3.53,,,,
1957-10-01,3.58,,,,
1957-11-01,3.31,,,,
1957-12-01,3.04,,,,
1958-01-01,2.44,,,,
1958-02-01,1.53,,,,
1958-03-01,1.30,,,,
1958-04-01,1.13,,,,
1958-05-01,0.91,,,,
1958-06-01,0.83,,,,
1958-07-01,0.91,,,,
1958-08-01,1.69,,,,
1958-09-01,2.44,,,,
1958-10-01,2.63,,,,
1958-11-01,2.67,,,,
1958-12-01,2.77,,,,
1959-01-01,2.82,,,,
1959-02-01,2.70,,,,
1959-03-01,2.80,,,,
1959-04-01,2.95,,,,
1959-05-01,2.84,,,,
1959-06-01,3.21,,,,
1959-07-01,3.20,,,,
1959-08-01,3.38,,,,
1959-09-01,4.04,,,,
1959-10-01,4.05,,,,
1959-11-01,4.15,,,,
1959-12-01,4.49,,,,
1960-01-01,4.35,,,,
1960-02-01,3.96,,,,
1960-03-01,3.31,,,,
1960-04-01,3.23,,,,
1960-05-01,3.29,,,,
1960-06-01,2.46,,,,
1960-07-01,2.30,,,,
1960-08-01,2.30,,,,
1960-09-01,2.48,,,,
1960-10-01,2.30,,,,
1960-11-01,2.37,,,,
1960-12-01,2.25,,,,
1961-01-01,2.24,,,,
1961-02-01,2.42,,,,
1961-03-01,2.39,,,,
1961-04-01,2.29,,,,
1961-05-01,2.29,,,,
1961-06-01,2.33,,,,
1961-07-01,2.24,,,,
1961-08-01,2.39,,,,
1961-09-01,2.28,,,,
1961-10-01,2.30,,,,
1961-11-01,2.48,,,,
1961-12-01,2.60,,,,
1962-01-01,2.72,4.08,,,
1962-02-01,2.73,4.04,,,
1962-03-01,2.72,3.93,,,
1962-04-01,2.73,3.84,,,
1962-05-01,2.69,3.87,,,
1962-06-01,2.73,3.91,,,
1962-07-01,2.92,4.01,,,
1962-08-01,2.82,3.98,,,
1962-09-01,2.78,3.98,,,
1962-10-01,2.74,3.93,,,
1962-11-01,2.83,3.92,,,
1962-12-01,2.87,3.86,,,
1963-01-01,2.91,3.83,,,
1963-02-01,2.92,3.92,,,
1963-03-01,2.89,3.93,,,
1963-04-01,2.90,3.97,,,
1963-05-01,2.93,3.93,,,
1963-06-01,2.99,3.99,,,
1963-07-01,3.18,4.02,,,
1963-08-01,3.32,4.00,,,
1963-09-01,3.38,4.08,,,
1963-10-01,3.45,4.11,,,
1963-11-01,3.52,4.12,,,
1963-12-01,3.52,4.13,,,
1964-01-01,3.52,4.17,,,
1964-02-01,3.53,4.15,,,
1964-03-01,3.54,4.22,,,
1964-04-01,3.47,4.23,,,
1964-05-01,3.48,4.20,,,
1964-06-01,3.48,4.17,,,
1964-07-01,3.46,4.19,,,
1964-08-01,3.50,4.19,,,
1964-09-01,3.53,4.20,,,
1964-10-01,3.57,4.19,,,
1964-11-01,3.64,4.15,,,
1964-12-01,3.84,4.18,,,
1965-01-01,3.81,4.19,,,
1965-02-01,3.93,4.21,,,
1965-03-01,3.93,4.21,,,
1965-04-01,3.93,4.20,,,
1965-05-01,3.89,4.21,,,
1965-06-01,3.80,4.21,,,
1965-07-01,3.84,4.20,,,
1965-08-01,3.84,4.25,,,
1965-09-01,3.92,4.29,,,
1965-10-01,4.03,4.35,,,
1965-11-01,4.09,4.45,,,
1965-12-01,4.38,4.62,,,
